  Generating ../brightmaps.pk3
  Adding brightmaps/doom/BON2B0.png                5.1% [    94/    99] Deflate
  Adding brightmaps/doom/BON2C0.png                5.2% [    92/    97] Deflate
  Adding brightmaps/doom/BON2D0.png                6.1% [    92/    98] Deflate
  Adding brightmaps/doom/BOS2A6C4.png              4.5% [   106/   111] Deflate
  Adding brightmaps/doom/BOS2A7C3.png              3.7% [   130/   135] Deflate
  Adding brightmaps/doom/BOS2A8C2.png              2.1% [   141/   144] Deflate
  Adding brightmaps/doom/BOS2B6D4.png              4.7% [   102/   107] Deflate
  Adding brightmaps/doom/BOS2B7D3.png              4.2% [   115/   120] Deflate
  Adding brightmaps/doom/BOS2B8D2.png              3.0% [   131/   135] Deflate
  Adding brightmaps/doom/BOSSA1.png                5.2% [   110/   116] Deflate
  Adding brightmaps/doom/BOSSA2A8.png              4.2% [   114/   119] Deflate
  Adding brightmaps/doom/BOSSA3A7.png              4.3% [   110/   115] Deflate
  Adding brightmaps/doom/BOSSA4A6.png              2.9% [   133/   137] Deflate
  Adding brightmaps/doom/BOSSA5.png                3.3% [   117/   121] Deflate
  Adding brightmaps/doom/BOSSB1.png                2.8% [   140/   144] Deflate
  Adding brightmaps/doom/BOSSB2B8.png              2.2% [   133/   136] Deflate
  Adding brightmaps/doom/BOSSB3B7.png              4.2% [   113/   118] Deflate
  Adding brightmaps/doom/BOSSB4B6.png              5.5% [   104/   110] Deflate
  Adding brightmaps/doom/BOSSB5.png                3.6% [   135/   140] Deflate
  Adding brightmaps/doom/BOSSC1.png                5.2% [   109/   115] Deflate
  Adding brightmaps/doom/BOSSC2C8.png              2.1% [   140/   143] Deflate
  Adding brightmaps/doom/BOSSC3C7.png              4.4% [   131/   137] Deflate
  Adding brightmaps/doom/BOSSC4C6.png              4.5% [   107/   112] Deflate
  Adding brightmaps/doom/BOSSC5.png                3.3% [   117/   121] Deflate
  Adding brightmaps/doom/BOSSD1.png                1.4% [   137/   139] Deflate
  Adding brightmaps/doom/BOSSD2D8.png              2.3% [   130/   133] Deflate
